"Arm","Total_Cost","Total_QALY","Inc_Cost","Inc_QALY","ICER","NMB_20k","NMB_50k","NMB_80k"
"SoC",144462.79860649,1.75339698024321,0,0,NA,0,0,0
"Psychosocial",164042.106658862,2.14945372201418,19579.308052372,0.396056741770973,49435.6136063304,-11658.1732169526,223.529036176638,12105.2312893058
"Technology",160109.659020737,1.97760624588249,15646.8604142478,0.224209265639287,69786.8590293714,-11162.6751014621,-4436.39713228345,2289.88083689515
"Combination",176027.304568188,2.38956641535362,31564.5059616982,0.636169435110412,49616.5081496251,-18841.1172594899,243.965793822419,19329.0488471348
